,moviename,year,description,cast,imdb_rating,imdb_ratingbasedon,tomatoes_audscore,tomatoes_rating,tomatoes_ratingbasedon,rank
29,Léon: The Professional,1994,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.","Luc Besson (dir.), Jean Reno, Gary Oldman",8.5,"902,981",,,,30
30,The Green Mile,1999,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.5,"988,069",,,,31
31,Interstellar,2014,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.5,"1,258,784",85%,4.1/5,"173,373",32
32,Psycho,1960,"A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.","Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.5,"524,911",94%,3.9/5,"239,323",33
33,American History X,1998,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.5,"933,912",,,,34
34,City Lights,1931,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.5,"142,624",,,,35
35,Casablanca,1942,A cynical nightclub owner protects an old flame and her husband from Nazis in Morocco.,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.5,"467,047",,,,36
36,Once Upon a Time in the West,1968,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.5,"265,753",,,,37
37,Modern Times,1936,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.5,"185,204",,,,38
38,The Pianist,2002,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.5,"626,108",,,,39
39,The Intouchables,2011,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Olivier Nakache (dir.), François Cluzet, Omar Sy",8.5,"658,014",,,,40
40,The Departed,2006,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.5,"1,054,099",,,,41
41,Back to the Future,1985,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.5,"912,516",,,,42
42,Terminator 2: Judgment Day,1991,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.","James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.5,"889,190",,,,43
43,Whiplash,2014,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.5,"595,915",,,,44
44,Rear Window,1954,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.5,"390,154",,,,45
45,The Lion King,1994,"A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.","Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.5,"813,608",,,,46
46,Raiders of the Lost Ark,1981,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before","Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.5,"795,207",,,,47
47,Gladiator,2000,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.5,"1,186,656",87%,3.8/5,"34,127,922",48
48,The Prestige,2006,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.5,"1,043,003",,,,49
49,Apocalypse Now,1979,"During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade Colonel who has set himself up as a god among a local tribe.","Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.4,"537,438",,,,50
50,Memento,2000,A man with short-term memory loss attempts to track down his wife's murderer.,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.4,"1,013,548",94%,4.1/5,"380,200",51
51,Alien,1979,"After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun.","Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.4,"698,356",94%,3.9/5,"458,495",52
52,Cinema Paradiso,1988,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.4,"196,129",,,,53
53,Grave of the Fireflies,1988,A young boy and his little sister struggle to survive in Japan during World War II.,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.4,"189,937",,,,54
